alcohol,density,chlorides,total sulfur dioxide,volatile acidity,residual sugar,quality,tipo_calidad
12.3,0.991,0.047,144.0,0.34,4.2,6,Mediana
9.9,0.9953,0.049,150.0,0.21,9.1,7,Buena
10.1,0.9924,0.057,128.0,0.37,1.6,5,Mediana
9.2,0.9969,0.063,184.0,0.34,8.8,6,Mediana
10.0,0.9967,0.059,99.0,0.22,10.3,6,Mediana
11.5,0.9944,0.051,37.0,0.35,12.4,6,Mediana
9.8,0.9928,0.048,153.0,0.26,2.2,5,Mediana
9.8,0.9929,0.05,154.0,0.26,2.2,6,Mediana
9.4,0.9948,0.04,179.0,0.28,5.2,6,Mediana
11.6,0.9912,0.038,107.0,0.28,2.7,7,Buena
8.8,0.9987,0.047,181.0,0.34,16.3,5,Mediana
12.7,0.99,0.032,151.0,0.2,2.7,7,Buena
11.7,0.991,0.035,138.0,0.2,1.9,7,Buena
10.2,0.9933,0.047,185.0,0.22,1.8,6,Mediana
10.2,0.9933,0.047,187.0,0.23,1.8,6,Mediana
12.7,0.9899,0.033,153.0,0.22,2.8,7,Buena
11.6,0.9912,0.038,107.0,0.28,2.7,7,Buena
12.3,0.9912,0.034,134.0,0.38,6.0,7,Buena
9.4,0.994,0.042,111.0,0.18,4.2,5,Mediana
10.1,0.9947,0.056,168.0,0.3,6.4,6,Mediana
9.7,0.9954,0.042,81.0,0.24,10.7,6,Mediana
10.1,0.993,0.046,134.0,0.25,1.6,7,Buena
9.7,0.9954,0.042,81.0,0.24,10.7,6,Mediana
8.9,0.9963,0.049,157.0,0.26,7.9,6,Mediana
10.8,0.992,0.034,136.0,0.32,1.7,7,Buena
10.8,0.9926,0.036,121.0,0.28,2.1,7,Buena
9.5,0.995,0.04,136.0,0.23,5.8,6,Mediana
9.1,0.9983,0.059,148.0,0.31,14.5,5,Mediana
10.9,0.992,0.037,119.0,0.2,1.2,6,Mediana
9.4,0.9968,0.043,152.0,0.41,10.1,5,Mediana
10.5,0.9926,0.051,140.0,0.27,0.9,7,Buena
9.4,0.9968,0.043,152.0,0.41,10.1,5,Mediana
10.8,0.9928,0.034,127.0,0.29,4.9,6,Mediana
11.5,0.9909,0.036,55.0,0.19,1.4,7,Buena
10.8,0.9914,0.045,106.0,0.24,1.4,6,Mediana
9.8,0.9924,0.052,134.0,0.26,1.5,6,Mediana
9.8,0.9924,0.052,134.0,0.26,1.5,6,Mediana
9.6,0.9965,0.049,158.0,0.25,7.5,5,Mediana
9.6,0.9965,0.049,158.0,0.25,7.5,5,Mediana
9.5,0.9993,0.044,161.0,0.28,17.75,5,Mediana
10.7,0.9965,0.061,94.0,0.37,5.7,6,Mediana
11.1,0.992,0.032,95.0,0.24,4.3,6,Mediana
11.7,0.9912,0.037,101.0,0.32,2.4,7,Buena
10.9,0.9928,0.051,195.0,0.26,1.9,6,Mediana
10.8,0.9928,0.051,190.0,0.24,1.8,6,Mediana
9.6,0.993,0.057,135.0,0.19,1.4,6,Mediana
10.4,0.9937,0.043,141.0,0.32,6.6,6,Mediana
11.4,0.9913,0.045,64.0,0.24,1.1,5,Mediana
9.4,0.9957,0.048,228.0,0.32,6.2,6,Mediana
9.4,0.9957,0.048,228.0,0.32,6.2,6,Mediana
10.5,0.9916,0.036,99.0,0.31,1.2,6,Mediana
8.8,0.9999,0.05,144.0,0.23,18.05,5,Mediana
8.8,0.9999,0.05,144.0,0.23,18.05,5,Mediana
10.7,0.9936,0.04,131.0,0.24,4.8,6,Mediana
9.5,0.9972,0.045,187.0,0.29,12.6,5,Mediana
10.9,0.9933,0.033,150.0,0.17,4.5,6,Mediana
10.8,0.9934,0.027,140.0,0.14,4.5,6,Mediana
10.8,0.9931,0.037,133.0,0.17,4.7,7,Buena
9.2,0.9976,0.053,148.0,0.28,11.9,5,Mediana
10.3,0.9937,0.046,198.0,0.35,5.0,5,Mediana
10.3,0.9937,0.046,197.0,0.335,5.8,5,Mediana
11.0,0.991,0.047,127.0,0.235,1.2,7,Buena
9.0,0.9979,0.054,189.0,0.28,12.9,4,Baja
10.4,0.9971,0.046,179.0,0.21,13.9,6,Mediana
9.5,0.9969,0.05,163.0,0.24,11.5,5,Mediana
9.5,0.9968,0.051,166.0,0.24,11.4,5,Mediana
9.0,0.9961,0.058,166.0,0.26,7.8,5,Mediana
9.0,0.9973,0.05,146.0,0.105,12.2,6,Mediana
10.0,0.9944,0.041,190.0,0.32,5.9,5,Mediana
9.1,0.9986,0.067,189.0,0.26,14.4,7,Buena
9.1,0.9986,0.067,189.0,0.26,14.4,7,Buena
9.1,0.9986,0.067,189.0,0.26,14.4,7,Buena
9.1,0.9986,0.067,189.0,0.26,14.4,7,Buena
9.5,0.9972,0.053,134.0,0.24,12.3,6,Mediana
11.4,0.9917,0.048,138.0,0.21,2.5,7,Buena
12.2,0.992,0.03,117.0,0.27,5.3,6,Mediana
10.2,0.9936,0.05,136.0,0.34,3.2,5,Mediana
11.3,0.9915,0.052,188.0,0.27,3.1,5,Mediana
9.4,0.9934,0.049,86.0,0.28,1.9,5,Mediana
12.2,0.9952,0.032,133.0,0.25,14.0,7,Buena
9.4,0.9934,0.049,86.0,0.28,1.9,5,Mediana
9.6,0.9958,0.052,182.0,0.17,7.4,6,Mediana
9.5,0.9944,0.056,130.0,0.28,1.4,5,Mediana
12.5,0.9908,0.036,195.0,0.22,1.7,6,Mediana
9.6,0.9958,0.052,182.0,0.17,7.4,6,Mediana
10.0,0.9925,0.047,173.0,0.14,1.3,6,Mediana
9.3,0.9966,0.047,211.0,0.24,11.6,5,Mediana
9.3,0.9972,0.058,199.0,0.42,9.2,6,Mediana
11.6,0.9912,0.038,101.0,0.28,1.7,6,Mediana
10.6,0.9928,0.038,130.0,0.31,2.1,6,Mediana
9.4,0.9968,0.047,206.0,0.32,10.7,5,Mediana
9.1,0.9955,0.056,201.0,0.28,6.9,6,Mediana
9.0,0.9981,0.057,224.0,0.29,12.0,6,Mediana
11.8,0.991,0.033,94.0,0.32,4.75,7,Buena
11.8,0.991,0.033,94.0,0.32,4.75,7,Buena
11.8,0.991,0.033,94.0,0.32,4.75,7,Buena
10.0,0.992,0.043,159.0,0.28,1.4,5,Mediana
9.5,0.997,0.052,165.0,0.25,11.3,6,Mediana
11.2,0.9923,0.052,183.0,0.46,1.7,5,Mediana
9.0,0.9976,0.051,201.0,0.36,13.2,5,Mediana
10.7,0.9938,0.043,114.0,0.22,5.5,7,Buena
9.1,0.9972,0.044,222.0,0.28,10.7,6,Mediana
10.8,0.9922,0.039,125.0,0.17,2.0,7,Buena
10.1,0.9935,0.043,136.0,0.2,1.9,4,Baja
9.9,0.9944,0.037,198.0,0.36,6.4,6,Mediana
9.8,0.9942,0.036,191.0,0.36,6.3,5,Mediana
9.8,0.9944,0.036,185.0,0.37,6.3,5,Mediana
9.5,0.9977,0.047,198.0,0.34,14.7,5,Mediana
11.1,0.9912,0.022,94.0,0.19,1.0,6,Mediana
9.5,0.9982,0.039,204.0,0.31,14.8,5,Mediana
9.5,0.9982,0.039,204.0,0.31,14.8,5,Mediana
9.4,0.9983,0.042,204.0,0.31,14.2,5,Mediana
10.1,0.9927,0.042,84.0,0.38,1.2,4,Baja
10.5,0.9917,0.038,110.0,0.33,1.1,6,Mediana
12.6,0.9904,0.037,115.0,0.25,3.6,6,Mediana
10.9,0.993,0.032,41.0,0.27,6.1,5,Mediana
10.0,0.9941,0.041,218.0,0.31,6.3,5,Mediana
11.2,0.9943,0.046,166.0,0.18,4.4,6,Mediana
10.0,0.99855,0.05,130.0,0.2,13.9,6,Mediana
9.2,0.99345,0.044,98.0,0.47,1.0,5,Mediana
9.5,0.998,0.046,172.0,0.25,12.1,5,Mediana
12.3,0.9916,0.035,128.0,0.27,1.6,6,Mediana
12.3,0.9916,0.035,128.0,0.27,1.6,6,Mediana
10.0,0.99475,0.04,213.0,0.31,7.5,5,Mediana
10.8,0.99325,0.038,187.0,0.39,2.7,6,Mediana
10.5,0.9933,0.038,150.0,0.21,1.7,7,Buena
9.2,0.9969,0.048,221.0,0.42,9.2,6,Mediana
9.1,1.0002,0.042,157.0,0.27,18.75,5,Mediana
10.5,0.9933,0.038,150.0,0.21,1.7,7,Buena
10.2,0.9937,0.042,127.0,0.29,1.8,7,Buena
8.9,0.99685,0.053,178.0,0.29,9.0,5,Mediana
10.4,0.99455,0.046,182.0,0.3,1.5,5,Mediana
11.7,0.9917,0.032,128.0,0.31,1.6,6,Mediana
10.9,0.9914,0.028,122.0,0.3,1.8,7,Buena
10.2,0.99225,0.041,136.0,0.39,1.2,5,Mediana
11.7,0.99155,0.038,114.0,0.24,2.8,7,Buena
9.4,0.9954,0.057,101.0,0.21,8.0,5,Mediana
10.5,0.99455,0.043,157.0,0.16,5.3,5,Mediana
10.4,0.99695,0.042,139.0,0.23,13.8,6,Mediana
9.5,0.99655,0.044,240.0,0.25,10.0,6,Mediana
11.1,0.9934,0.022,49.0,0.28,6.0,7,Buena
9.1,0.998,0.052,183.0,0.25,14.4,6,Mediana
9.2,0.9971,0.04,191.0,0.38,9.8,5,Mediana
9.6,0.9948,0.038,129.0,0.25,5.5,6,Mediana
9.1,0.998,0.052,183.0,0.25,14.4,6,Mediana
9.2,0.9971,0.04,191.0,0.38,9.8,5,Mediana
10.8,0.99215,0.021,142.0,0.21,3.8,7,Buena
9.6,0.9948,0.038,129.0,0.25,5.5,6,Mediana
11.0,0.99115,0.031,57.0,0.2,1.5,6,Mediana
10.2,0.9932,0.03,136.0,0.2,2.0,6,Mediana
9.4,0.9977,0.034,152.0,0.26,12.5,5,Mediana
10.0,0.99535,0.041,160.0,0.38,7.5,5,Mediana
10.5,0.9953,0.033,253.0,0.21,8.5,6,Mediana
11.5,0.9928,0.024,177.0,0.29,7.6,6,Mediana
9.8,0.9958,0.049,176.0,0.18,8.1,6,Mediana
11.4,0.9928,0.025,175.0,0.3,7.35,6,Mediana
11.5,0.9928,0.024,177.0,0.29,7.6,6,Mediana
10.2,0.9964,0.036,167.0,0.2,10.0,6,Mediana
10.5,0.9953,0.033,253.0,0.21,8.5,6,Mediana
12.2,0.9907,0.032,107.0,0.28,1.8,7,Buena
9.5,0.99755,0.056,175.0,0.25,11.1,5,Mediana
9.8,0.9958,0.049,176.0,0.18,8.1,6,Mediana
9.8,0.99585,0.05,173.0,0.2,8.1,6,Mediana
8.7,1.00055,0.057,247.0,0.24,19.3,5,Mediana
9.5,0.99505,0.042,168.0,0.3,5.0,6,Mediana
11.0,0.992,0.05,135.0,0.27,1.6,6,Mediana
10.9,0.99175,0.028,46.0,0.2,1.6,6,Mediana
9.3,0.9962,0.043,113.0,0.11,8.8,7,Buena
9.3,0.9962,0.043,113.0,0.11,8.8,7,Buena
9.8,0.9942,0.045,120.0,0.12,5.2,7,Buena
9.4,0.99985,0.039,172.0,0.27,16.7,5,Mediana
11.0,0.99215,0.039,98.0,0.14,1.5,6,Mediana
9.0,0.99865,0.052,197.0,0.23,13.7,5,Mediana
9.3,0.99715,0.056,213.0,0.29,9.5,6,Mediana
9.0,0.99865,0.052,197.0,0.23,13.7,5,Mediana
9.3,0.99815,0.039,119.0,0.3,10.6,6,Mediana
9.2,0.99815,0.04,117.0,0.34,11.0,6,Mediana
9.2,0.99815,0.04,117.0,0.34,11.0,6,Mediana
10.0,0.9949,0.037,116.0,0.34,7.0,7,Buena
9.3,0.99815,0.039,119.0,0.3,10.6,6,Mediana
9.2,0.99815,0.04,117.0,0.34,11.0,6,Mediana
10.9,0.99225,0.033,92.0,0.24,2.0,7,Buena
10.9,0.99225,0.033,92.0,0.24,2.0,7,Buena
9.3,0.99335,0.049,173.0,0.32,1.4,5,Mediana
9.0,0.99625,0.05,157.0,0.31,7.3,5,Mediana
9.2,0.9971,0.054,215.0,0.42,8.8,6,Mediana
9.4,0.99445,0.041,113.0,0.18,4.8,6,Mediana
9.3,0.9953,0.048,222.0,0.28,6.8,5,Mediana
9.3,0.99775,0.044,220.0,0.39,11.6,5,Mediana
9.8,0.99795,0.039,165.0,0.21,11.4,7,Buena
9.8,0.99505,0.032,112.0,0.32,6.6,6,Mediana
9.6,0.9975,0.046,205.0,0.31,13.2,5,Mediana
9.6,0.99745,0.046,204.0,0.29,13.1,6,Mediana
9.0,0.9976,0.046,246.0,0.39,12.0,6,Mediana
9.5,0.99775,0.046,206.0,0.3,13.4,6,Mediana
9.3,0.9953,0.048,222.0,0.28,6.8,5,Mediana
9.1,0.99405,0.055,160.0,0.35,1.1,7,Buena
9.5,1.0,0.045,166.0,0.26,16.5,6,Mediana
9.0,0.9939,0.04,125.0,0.3,2.8,5,Mediana
11.7,0.9939,0.036,77.0,0.18,5.1,5,Mediana
9.0,0.9939,0.04,125.0,0.3,2.8,5,Mediana
9.4,0.99445,0.053,104.0,0.18,5.4,5,Mediana
9.6,0.9945,0.047,117.0,0.19,6.2,6,Mediana
11.7,0.9939,0.036,77.0,0.18,5.1,5,Mediana
9.8,0.9958,0.042,167.0,0.21,7.2,6,Mediana
10.2,0.9956,0.046,155.0,0.25,8.1,6,Mediana
10.9,0.9959,0.044,90.0,0.16,10.7,7,Buena
11.0,0.9925,0.043,90.0,0.16,1.2,7,Buena
11.5,0.9935,0.037,161.0,0.17,5.5,4,Baja
12.2,0.99045,0.035,82.0,0.25,1.3,6,Mediana
12.0,0.9924,0.034,126.0,0.34,6.0,7,Buena
12.0,0.9924,0.036,126.0,0.33,6.3,7,Buena
8.8,0.99975,0.044,169.0,0.23,13.4,7,Buena
8.8,0.99975,0.044,169.0,0.23,13.4,7,Buena
10.8,0.99315,0.036,101.0,0.19,1.7,7,Buena
9.3,0.99845,0.035,153.0,0.22,15.4,5,Mediana
8.8,0.99975,0.044,169.0,0.23,13.4,7,Buena
11.5,0.9909,0.03,105.0,0.2,1.8,6,Mediana
10.8,0.99315,0.036,101.0,0.19,1.7,7,Buena
9.4,0.99855,0.042,166.0,0.38,13.6,5,Mediana
9.4,0.99855,0.042,166.0,0.38,13.6,5,Mediana
9.4,0.9986,0.042,169.0,0.4,13.7,5,Mediana
10.0,0.99725,0.038,149.0,0.22,10.2,7,Buena
9.1,0.9996,0.041,182.0,0.25,14.2,7,Buena
12.1,0.99,0.029,111.0,0.28,1.7,6,Mediana
12.5,0.9886,0.021,117.0,0.27,2.2,6,Mediana
10.1,0.9926,0.037,97.0,0.24,1.2,6,Mediana
10.7,0.9915,0.03,125.0,0.26,4.0,6,Mediana
10.1,0.9932,0.029,64.0,0.15,1.3,5,Mediana
10.0,0.993,0.037,141.0,0.21,2.2,7,Buena
10.0,0.993,0.037,141.0,0.21,2.2,7,Buena
9.9,0.9953,0.04,121.0,0.36,1.9,6,Mediana
11.5,0.9928,0.022,125.0,0.26,6.0,6,Mediana
11.5,0.9928,0.022,125.0,0.26,6.0,6,Mediana
9.8,0.9976,0.035,236.0,0.23,12.2,6,Mediana
12.2,0.9906,0.024,105.0,0.34,2.6,7,Buena
11.4,0.9918,0.04,173.0,0.26,1.6,6,Mediana
11.0,0.99185,0.044,90.0,0.3,2.0,7,Buena
11.4,0.9918,0.04,173.0,0.26,1.6,6,Mediana
11.0,0.99185,0.044,90.0,0.3,2.0,7,Buena
11.0,0.9908,0.031,114.0,0.26,1.2,7,Buena
12.2,0.9896,0.037,128.0,0.31,1.4,7,Buena
11.0,0.9908,0.031,114.0,0.26,1.2,7,Buena
10.3,0.9918,0.043,67.0,0.19,1.1,6,Mediana
10.5,0.9952,0.047,242.0,0.18,8.7,6,Mediana
10.5,0.9923,0.044,87.0,0.29,1.6,6,Mediana
10.9,0.9915,0.039,67.0,0.26,1.4,6,Mediana
10.5,0.9952,0.047,242.0,0.18,8.5,6,Mediana
11.0,0.9947,0.052,145.0,0.2,7.9,7,Buena
9.7,0.9983,0.046,113.0,0.29,13.2,6,Mediana
8.9,0.9975,0.048,229.0,0.28,12.8,5,Mediana
9.6,0.995,0.047,206.0,0.31,7.7,6,Mediana
11.1,0.994,0.047,101.0,0.19,1.6,4,Baja
10.3,0.9944,0.048,72.0,0.27,1.3,4,Baja
9.8,0.99795,0.054,159.0,0.23,9.6,4,Baja
8.8,0.9985,0.049,217.0,0.24,13.0,5,Mediana
9.9,0.99425,0.04,144.0,0.33,5.8,5,Mediana
9.9,0.99425,0.042,143.0,0.33,5.6,5,Mediana
9.9,0.9943,0.041,145.0,0.34,5.8,5,Mediana
9.5,0.9946,0.05,88.0,0.32,1.2,4,Baja
10.3,0.995,0.042,137.0,0.13,4.7,7,Buena
11.0,0.9919,0.037,124.0,0.3,1.6,6,Mediana
11.9,0.99,0.031,107.0,0.24,1.4,6,Mediana
10.2,0.9923,0.04,107.0,0.18,1.1,7,Buena
9.4,0.9956,0.057,144.0,0.11,4.6,7,Buena
10.0,0.9967,0.044,215.0,0.26,12.9,6,Mediana
9.8,0.9936,0.047,100.0,0.27,2.9,5,Mediana
9.5,0.9934,0.057,173.0,0.25,2.9,7,Buena
11.9,0.9929,0.017,84.0,0.17,5.9,7,Buena
8.9,0.9974,0.033,230.0,0.26,12.6,5,Mediana
10.0,0.99685,0.046,225.0,0.26,12.5,6,Mediana
9.6,0.99495,0.037,205.0,0.29,7.4,5,Mediana
8.9,0.99745,0.039,233.0,0.28,13.0,5,Mediana
8.9,0.99505,0.041,230.0,0.27,6.7,5,Mediana
11.4,0.992,0.048,67.0,0.43,1.4,5,Mediana
10.0,0.9956,0.044,244.0,0.35,7.3,6,Mediana
9.6,0.9982,0.044,194.0,0.24,15.3,7,Buena
9.7,0.99485,0.034,197.0,0.34,7.5,5,Mediana
9.5,0.9971,0.037,212.0,0.27,11.75,6,Mediana
10.0,0.99265,0.039,88.0,0.415,1.6,7,Buena
12.2,0.9904,0.03,135.0,0.48,3.5,7,Buena
8.7,0.9965,0.051,131.0,0.18,8.0,7,Buena
10.2,0.9946,0.058,105.0,0.15,5.0,7,Buena
10.0,0.9935,0.039,147.0,0.16,1.6,5,Mediana
11.5,0.9942,0.034,84.0,0.25,6.4,5,Mediana
9.5,0.9936,0.043,134.0,0.345,1.9,5,Mediana
9.8,0.9965,0.035,143.0,0.22,9.7,6,Mediana
10.1,0.9928,0.028,99.0,0.17,1.4,6,Mediana
10.0,0.9928,0.042,117.0,0.23,1.3,5,Mediana
9.8,0.9965,0.035,143.0,0.22,9.7,6,Mediana
9.5,0.9936,0.043,134.0,0.345,1.9,5,Mediana
9.5,0.9938,0.042,133.0,0.32,1.8,5,Mediana
10.2,0.9926,0.041,79.0,0.23,0.9,7,Buena
10.2,0.9926,0.039,78.0,0.2,1.1,7,Buena
9.0,0.9983,0.05,174.0,0.24,15.4,6,Mediana
9.0,0.9983,0.05,174.0,0.24,15.4,6,Mediana
12.3,0.992,0.037,101.0,0.42,5.0,7,Buena
9.0,0.9983,0.05,174.0,0.24,15.4,6,Mediana
11.6,0.9923,0.023,112.0,0.19,4.0,6,Mediana
9.5,0.9972,0.034,152.0,0.26,12.5,6,Mediana
11.5,0.9928,0.035,101.0,0.23,3.2,5,Mediana
9.6,0.9928,0.041,188.0,0.34,1.8,6,Mediana
9.0,0.9994,0.039,153.0,0.22,17.5,6,Mediana
12.0,0.991,0.028,93.0,0.08,1.9,7,Buena
12.6,0.9898,0.02,110.0,0.27,1.7,7,Buena
9.0,0.9994,0.039,153.0,0.22,17.5,6,Mediana
12.0,0.991,0.028,93.0,0.08,1.9,7,Buena
9.2,0.9956,0.054,111.0,0.3,4.3,5,Mediana
10.3,0.9946,0.058,131.0,0.13,4.9,6,Mediana
8.6,0.9966,0.05,189.0,0.14,7.6,5,Mediana
10.7,0.9951,0.037,155.0,0.28,6.7,7,Buena
10.7,0.9951,0.037,155.0,0.28,6.7,7,Buena
12.5,0.9894,0.027,72.0,0.39,1.7,6,Mediana
11.9,0.9907,0.026,77.0,0.36,4.2,6,Mediana
10.8,0.9925,0.043,149.0,0.19,1.6,5,Mediana
10.5,0.9928,0.05,122.0,0.41,1.9,6,Mediana
10.3,0.9941,0.054,161.0,0.28,5.3,6,Mediana
10.3,0.9941,0.053,163.0,0.3,5.2,6,Mediana
10.8,0.9925,0.043,149.0,0.19,1.6,5,Mediana
12.0,0.9935,0.036,117.0,0.28,8.9,7,Buena
10.2,0.9932,0.04,143.0,0.16,3.4,6,Mediana
10.2,0.9944,0.046,69.0,0.26,1.3,4,Baja
9.9,0.9972,0.049,217.0,0.25,15.2,5,Mediana
10.1,0.994,0.046,62.0,0.24,1.3,4,Baja
9.5,0.9956,0.04,187.0,0.18,1.8,6,Mediana
10.5,0.9927,0.046,154.0,0.27,1.6,6,Mediana
10.4,0.9924,0.046,29.0,0.26,1.3,5,Mediana
9.5,0.9966,0.062,152.0,0.24,9.8,6,Mediana
9.2,0.9997,0.056,184.0,0.24,17.45,6,Mediana
9.8,0.9936,0.05,84.0,0.19,1.8,7,Buena
9.4,0.9952,0.045,216.0,0.28,6.8,5,Mediana
9.4,0.9952,0.045,221.0,0.28,7.1,6,Mediana
10.4,0.9928,0.063,136.0,0.24,1.3,7,Buena
11.3,0.9911,0.038,153.0,0.36,3.3,6,Mediana
10.8,0.993,0.044,91.0,0.18,3.3,6,Mediana
11.3,0.9911,0.038,153.0,0.36,3.3,6,Mediana
10.3,0.993,0.059,199.0,0.22,1.2,7,Buena
10.5,0.993,0.055,146.0,0.15,1.3,6,Mediana
10.3,0.9932,0.043,109.0,0.16,1.4,6,Mediana
11.2,0.9932,0.048,173.0,0.16,1.7,7,Buena
10.3,0.9943,0.057,98.0,0.16,1.7,6,Mediana
9.5,0.9968,0.048,210.0,0.25,11.6,5,Mediana
10.2,0.9926,0.036,113.0,0.39,2.8,5,Mediana
10.3,0.9932,0.043,109.0,0.16,1.4,6,Mediana
10.5,0.9916,0.045,157.0,0.18,1.4,6,Mediana
9.5,0.9946,0.049,189.0,0.14,1.5,6,Mediana
11.4,0.9925,0.041,125.0,0.2,1.5,7,Buena
11.4,0.9925,0.041,125.0,0.2,1.5,7,Buena
10.5,0.9962,0.06,174.0,0.19,10.6,6,Mediana
9.7,0.993,0.039,123.0,0.15,1.6,6,Mediana
10.2,0.993,0.042,140.0,0.14,1.6,6,Mediana
10.4,0.9941,0.052,128.0,0.24,1.5,7,Buena
10.5,0.9948,0.054,166.0,0.2,2.1,6,Mediana
10.0,0.9955,0.047,232.0,0.34,7.6,6,Mediana
10.2,0.9972,0.055,234.0,0.3,6.8,6,Mediana
10.2,0.9972,0.055,234.0,0.3,6.8,6,Mediana
10.2,0.9942,0.04,148.0,0.17,1.8,6,Mediana
9.7,0.9956,0.044,77.0,0.47,6.0,5,Mediana
9.3,0.9953,0.034,104.0,0.15,5.3,7,Buena
11.0,0.9918,0.035,102.0,0.17,1.4,5,Mediana
10.7,0.992,0.039,75.0,0.275,1.0,5,Mediana
8.8,1.001,0.048,243.0,0.33,19.45,5,Mediana
10.9,0.9924,0.049,94.0,0.21,1.6,7,Buena
10.5,0.9932,0.05,92.0,0.15,2.0,5,Mediana
10.0,0.9937,0.046,107.0,0.19,1.3,5,Mediana
10.4,0.9918,0.029,61.0,0.31,1.7,5,Mediana
9.2,0.9934,0.038,75.0,0.4,1.1,5,Mediana
12.6,0.991,0.035,116.0,0.37,4.7,6,Mediana
9.0,0.9962,0.048,152.0,0.24,7.5,5,Mediana
11.3,0.9908,0.035,86.0,0.29,1.3,5,Mediana
10.4,0.9918,0.029,61.0,0.31,1.7,5,Mediana
10.0,0.9941,0.049,111.0,0.26,2.2,5,Mediana
10.7,0.9931,0.06,111.0,0.21,1.2,6,Mediana
10.7,0.9931,0.06,111.0,0.21,1.2,6,Mediana
11.6,0.992,0.054,121.0,0.26,2.0,7,Buena
9.4,0.9966,0.07,185.0,0.21,7.5,5,Mediana
9.7,1.0002,0.054,126.0,0.22,14.8,5,Mediana
9.1,0.9942,0.048,172.0,0.3,5.5,6,Mediana
11.1,0.9923,0.037,125.0,0.19,2.6,7,Buena
12.6,0.9917,0.024,87.0,0.33,6.35,7,Buena
11.0,0.9931,0.031,147.0,0.2,1.5,6,Mediana
11.3,0.992,0.04,166.0,0.37,1.6,7,Buena
9.7,1.0002,0.054,126.0,0.22,14.8,5,Mediana
10.9,0.9953,0.036,118.0,0.29,9.1,7,Buena
10.9,0.9951,0.048,192.0,0.34,8.0,5,Mediana
12.7,0.9904,0.033,124.0,0.4,3.2,7,Buena
10.1,0.9974,0.048,180.0,0.28,7.7,6,Mediana
10.0,0.9944,0.037,132.0,0.26,1.3,5,Mediana
9.8,1.0004,0.051,197.0,0.26,16.3,5,Mediana
10.1,0.9952,0.046,227.0,0.34,6.2,6,Mediana
9.0,0.9956,0.059,118.0,0.15,4.7,7,Buena
9.4,0.995,0.038,155.0,0.27,5.8,6,Mediana
9.4,0.995,0.038,155.0,0.27,5.8,6,Mediana
9.2,0.9995,0.048,190.0,0.2,16.95,6,Mediana
10.1,0.9942,0.035,142.0,0.23,5.1,7,Buena
9.2,0.9995,0.048,190.0,0.2,16.95,6,Mediana
10.6,0.9934,0.034,127.0,0.17,4.0,7,Buena
8.9,0.9982,0.048,178.0,0.21,14.5,6,Mediana
10.6,0.9928,0.069,156.0,0.21,1.2,6,Mediana
10.6,0.9945,0.038,132.0,0.17,6.7,7,Buena
8.8,0.9963,0.045,183.0,0.24,8.4,5,Mediana
10.2,0.9956,0.04,139.0,0.28,8.8,6,Mediana
10.1,0.9942,0.035,142.0,0.23,5.1,7,Buena
10.1,0.9962,0.039,120.0,0.29,10.6,6,Mediana
9.4,0.995,0.038,155.0,0.27,5.8,6,Mediana
11.8,0.9908,0.028,107.0,0.17,2.8,6,Mediana
11.4,0.9914,0.033,148.0,0.16,1.6,5,Mediana
10.7,0.9938,0.036,117.0,0.29,6.7,5,Mediana
11.5,0.9922,0.028,191.0,0.32,4.9,7,Buena
12.6,0.9903,0.029,87.0,0.37,2.0,7,Buena
12.6,0.9893,0.024,76.0,0.29,1.7,7,Buena
12.6,0.9903,0.029,87.0,0.37,2.0,7,Buena
12.1,0.9912,0.04,96.0,0.18,1.3,6,Mediana
9.9,0.9983,0.053,177.0,0.22,12.0,6,Mediana
10.7,0.9937,0.047,102.0,0.18,1.6,5,Mediana
10.5,0.9922,0.04,64.0,0.415,1.4,5,Mediana
9.7,0.9976,0.037,216.0,0.45,8.3,5,Mediana
10.5,0.9922,0.04,64.0,0.415,1.4,5,Mediana
9.2,0.998,0.051,106.0,0.105,12.4,6,Mediana
10.1,0.9931,0.047,117.0,0.4,1.6,6,Mediana
11.4,0.9911,0.04,89.0,0.25,1.45,7,Buena
12.9,0.989,0.038,166.0,0.115,1.95,7,Buena
12.0,0.992,0.042,99.0,0.125,5.85,7,Buena
9.5,0.9928,0.047,100.0,0.1,1.3,5,Mediana
11.8,0.9918,0.031,117.0,0.25,5.3,7,Buena
9.1,0.9936,0.048,159.0,0.2,1.2,6,Mediana
9.7,0.9944,0.047,128.0,0.23,4.0,6,Mediana
9.1,0.9988,0.043,162.0,0.39,14.35,5,Mediana
10.0,0.994,0.053,114.0,0.22,2.3,5,Mediana
10.4,0.9953,0.042,127.0,0.41,4.7,5,Mediana
9.5,0.9986,0.048,161.0,0.25,12.85,6,Mediana
10.5,0.9933,0.048,131.0,0.24,1.6,5,Mediana
10.5,0.9933,0.047,132.0,0.25,1.5,5,Mediana
8.9,0.9959,0.041,223.0,0.32,7.5,5,Mediana
10.8,0.9938,0.025,111.0,0.17,5.7,6,Mediana
9.5,0.9952,0.038,220.0,0.25,7.2,5,Mediana
8.9,0.9959,0.042,219.0,0.32,7.6,5,Mediana
8.9,0.9959,0.041,223.0,0.32,7.5,5,Mediana
9.0,0.9967,0.037,171.0,0.16,4.8,4,Baja
10.5,0.9944,0.034,172.0,0.33,2.1,4,Baja
9.0,0.9998,0.054,135.0,0.3,16.85,6,Mediana
